year,price_base,price_harvest,price_ratio,price_pctchg
1972,1.240000,1.350000,1.088710,0.088710
1973,1.390000,2.460000,1.769784,0.769784
1974,2.910000,3.800000,1.305842,0.305842
1975,2.700000,2.900000,1.074074,0.074074
1976,2.720000,2.650000,0.974265,-0.025735
1977,2.730000,2.090000,0.765568,-0.234432
1978,2.270000,2.310000,1.017621,0.017621
1979,2.590000,2.780000,1.073359,0.073359
1980,3.120000,3.610000,1.157051,0.157051
1981,3.760000,2.910000,0.773936,-0.226064
1982,3.000000,2.200000,0.733333,-0.266667
1983,2.880000,3.480000,1.208333,0.208333
1984,2.860000,2.780000,0.972028,-0.027972
1985,2.660000,2.230000,0.838346,-0.161654
1986,2.100000,1.690000,0.804762,-0.195238
1987,1.690000,1.830000,1.082840,0.082840
1988,2.170000,2.890000,1.331797,0.331797
1989,2.710000,2.390000,0.881919,-0.118081
1990,2.470000,2.300000,0.931174,-0.068826
1991,2.590000,2.510000,0.969112,-0.030888
1992,2.700000,2.090000,0.774074,-0.225926
1993,2.400000,2.490000,1.037500,0.037500
1994,2.680000,2.160000,0.805970,-0.194030
1995,2.570000,3.230000,1.256809,0.256809
1996,3.080000,2.840000,0.922078,-0.077922
1997,2.730000,2.810000,1.029304,0.029304
1998,2.840000,2.190000,0.771127,-0.228873
1999,2.400000,2.010000,0.837500,-0.162500
2000,2.510000,2.040000,0.812749,-0.187251
2001,2.460000,2.080000,0.845528,-0.154472
2002,2.320000,2.520000,1.086207,0.086207
2003,2.420000,2.260000,0.933884,-0.066116
2004,2.830000,2.050000,0.724382,-0.275618
2005,2.320000,2.020000,0.870690,-0.129310
2006,2.500000,3.030000,1.212000,0.212000
2007,4.060000,3.580000,0.881773,-0.118227
2008,5.400000,4.130000,0.764815,-0.235185
2009,4.130000,3.720000,0.900726,-0.099274
2010,3.990000,5.460000,1.368421,0.368421
2011,6.010000,6.320000,1.051581,0.051581
2012,5.680000,7.500000,1.320423,0.320423
2013,5.650000,4.390000,0.776991,-0.223009
2014,4.620000,3.490000,0.755411,-0.244589
2015,4.150000,3.830000,0.922892,-0.077108
2016,3.860000,3.490000,0.904145,-0.095855
2017,3.960000,3.490000,0.881313,-0.118687
2018,3.960000,3.680000,0.929293,-0.070707
2019,4.000000,3.900000,0.975000,-0.025000
2020,3.880000,3.990000,1.028351,0.028351
2021,4.580000,5.370000,1.172489,0.172489
2022,5.900000,6.860000,1.162712,0.162712
2023,5.910000,4.880000,0.825719,-0.174281
2024,4.660000,4.160000,0.892704,-0.107296
2025,4.700000,4.220000,0.897872,-0.102128
