,65%,75%,85%,90%
Kernel-Gaussian,0.3344,0.2047,0.1215,0.0915
Kernel-t,0.1531,0.1414,0.0616,0.0433
Kernel-Frank,0.0982,0.1514,0.2163,0.2013
Kernel-Gumbel,0.0815,0.0532,0.0383,0.0266
Kernel-Clayton,0.3045,0.4393,0.5591,0.6306
Gaussian-t,0.0017,0.0017,0.0,0.0
Gaussian-Frank,0.0,0.0,0.0,0.0
Gaussian-Gumbel,0.0,0.0,0.0,0.0
Gaussian-Clayton,0.0083,0.0017,0.0017,0.0017
t-Frank,0.0,0.0017,0.0,0.0
t-Gumbel,0.0,0.0,0.0,0.0
t-Clayton,0.0083,0.0,0.0017,0.0017
Frank-Gumbel,0.0,0.0,0.0,0.0
Frank-Clayton,0.0083,0.005,0.0,0.0033
Gumbel-Clayton,0.0017,0.0,0.0,0.0
