coverage,copula,vs_Frank-Clayton,vs_Gumbel-Clayton
65%,Kernel,0.1714,0.0732
65%,Gaussian,0.1531,0.2446
65%,t,0.0948,0.1298
65%,Frank,0.01,0.0549
65%,Gumbel,0.0682,0.0183
65%,Clayton,0.01,0.0183
75%,Kernel,0.3328,0.1414
75%,Gaussian,0.0982,0.2795
75%,t,0.0499,0.1481
75%,Frank,0.0133,0.1631
75%,Gumbel,0.2047,0.0433
75%,Clayton,0.0133,0.0433
85%,Kernel,0.3245,0.1181
85%,Gaussian,0.1747,0.3394
85%,t,0.0932,0.1631
85%,Frank,0.0183,0.3095
85%,Gumbel,0.386,0.1098
85%,Clayton,0.0183,0.1098
90%,Kernel,0.2729,0.0765
90%,Gaussian,0.2629,0.3844
90%,t,0.1348,0.1897
90%,Frank,0.0333,0.396
90%,Gumbel,0.4725,0.1764
90%,Clayton,0.0333,0.1764
